id;date;details;status;payment_method;payment_date;payment_amount
1;2020-02-07T01:02:39;RAM Focused;PAID;CASH_ON_DELIVERY;2020-02-07T09:24:46;64379
2;2020-02-06T21:52:45;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-02-07T03:03:03;17323
3;2020-02-07T02:20:10;Incredible Baby;CANCELLED;PAYPAL;2020-02-07T05:51:51;11017
4;2020-02-06T23:50:05;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-02-06T23:54:13;51438
5;2020-02-06T18:30:13;function;PAID;PAYPAL;2020-02-07T11:04:18;32278
6;2020-02-06T19:30:01;action-items;CANCELLED;CASH_ON_DELIVERY;2020-02-07T09:17:13;5232
7;2020-02-07T12:16:44;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-02-07T05:54:06;62169
8;2020-02-06T22:11:48;Toys;ISSUED;PAYPAL;2020-02-07T08:49:45;10756
9;2020-02-06T23:42:13;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-02-07T13:25:46;58055
10;2020-02-06T22:19:58;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-02-07T10:46:09;94075
