id;placed_date;status;code
1;2020-02-07T08:26:37;COMPLETED;Georgia calculate withdrawal
2;2020-02-06T19:23:07;COMPLETED;compress Steel out-of-the-box
3;2020-02-06T20:54:19;PENDING;Concrete
4;2020-02-07T10:20:14;CANCELLED;Investment Account
5;2020-02-06T21:37:04;PENDING;United States of America
6;2020-02-07T11:49:08;CANCELLED;IB Industrial Credit Card Account
7;2020-02-07T14:55:33;CANCELLED;Cotton Egyptian Pound
8;2020-02-06T23:51:37;COMPLETED;Home Loan Account
9;2020-02-07T08:45:53;COMPLETED;Human
10;2020-02-06T18:54:31;CANCELLED;payment
